emp_id,name,department,designation,age,gender,city,education,experience_years,salary,performance_score,last_promotion_year,remote_work_days,training_hours,overtime_hours,project_count,attrition,joining_date
EMP0168,Employee_168,Finance,Finance Manager,31,Male,Dhaka,MSc,9.0,114800,3.5,2022.0,4,31.0,20.0,6,No,10/11/2021
EMP0100,Employee_100,Engineering,Senior Engineer,36,Male,Sylhet,MSc,14.0,BDT 80600,1.9,2021.0,0,46.0,6.0,11,Yes,2019-01-25
EMP0128,Employee_128,Sales,Sales Manager,43,Female,Dhaka,MSc,19.0,89600,2.8,2023.0,0,75.0,20.0,4,No,20/03/2020
EMP0016,Employee_016,HR,HR Executive,43,Male,Rajshahi,MSc,23.0,48700,4.1,2020.0,4,48.0,21.0,8,No,2015-08-14
EMP0014,Employee_014,HR,HR Director,30,Male,Dhaka,MSc,6.0,100500,3.6,2019.0,4,53.0,21.0,4,No,2015-07-15
EMP0200,Employee_200,Sales,Sales Executive,48,Male,Khulna,,26.0,61400,,2020.0,0,16.0,10.0,2,Yes,2023-03-05
EMP0087,Employee_087,Eng.,Junior Engineer,33,Female,Sylhet,PhD,11.0,49800,5.0,2019.0,5,58.0,24.0,5,No,2018-07-14
EMP0012,Employee_012,Finance,Senior Analyst,38,Female,Rajshahi,BSc,14.0,77100,2.9,2020.0,4,64.0,5.0,10,No,2015-06-15
EMP0038,Employee_038,Data Science,Senior DS,39,Female,Rajshahi ,BSc,17.0,95800,3.5,2022.0,2,47.0,34.0,3,No,2016-07-09
EMP0145,Employee_145,Sales,Sales Manager,45,Female,Rajshahi,,25.0,,2.8,2023.0,2,28.0,16.0,4,No,2020-11-30
EMP0123,Employee_123,Data Science,Data Analyst,33,Female,Khulna,BSc,9.0,9999999,3.2,2023.0,0,26.0,36.0,3,Yes,2020-01-05
EMP0108,Employee_108,Sales,Sales Manager,48,Female,Dhaka,,28.0,,3.7,2023.0,4,,16.0,10,Yes,2019-05-25
EMP0160,Employee_160,Finance,Analyst,44,Male,Sylhet,BSc,24.0,61200,3.4,2023.0,1,72.0,16.0,2,Yes,2021-07-13
EMP0007,Employee_007,Finance,Analyst,48,Male,  Sylhet  ,MSc,28.0,63500,2.8,2022.0,5,69.0,2.0,9,No,2015-04-01
EMP0154,Employee_154,Engineering,Engineering Manager,31,Female,Khulna,PhD,9.0,135300,3.0,2023.0,3,40.0,34.0,7,Yes,2021-04-14
EMP0169,Employee_169,Engineering,Engineering Manager,41,Female,Rajshahi,MSc,20.0,148800,3.3,2022.0,5,36.0,27.0,5,No,2021-11-25
EMP0003,Employee_003,Finance,Analyst,34,Male,Chittagong,BSc,11.0,43500,3.9,2019.0,2,5.0,26.0,1,No,2015-01-31
EMP0143,Employee_143,Sales,Sales Executive,29,Female,Khulna,BSc,7.0,37100,3.3,2023.0,1,45.0,31.0,4,Yes,2020-10-31
EMP0161,Employee_161,Finance,Analyst,35,Female,  Khulna  ,MSc,13.0,47900,4.4,2023.0,1,17.0,8.0,3,No,2021-07-28
EMP0177,Employee_177,Finance,Analyst,48,FEMALE,Rajshahi,BSc,27.0,,2.7,2019.0,1,7.0,22.0,2,Yes,25/03/2022
EMP0209,Employee_209,Sales,Sales Manager,34,Female,Khulna,BSc,12.0,72300,,2019.0,3,25.0,7.0,5,No,2023-07-18
EMP0129,Employee_129,Data Science,DS Lead,51,F,Dhaka,BSc,30.0,141500,2.9,2023.0,2,36.0,37.0,10,No,2020-04-04
EMP0162,Employee_162,Engineering,Engineering Manager,49,Male,Dhaka,MSc,25.0,152200,2.4,2023.0,3,53.0,0.0,3,No,2021-08-12
EMP0211,Employee_211,Finance,Analyst,32,Male,Khulna,BSc,9.0,42000,3.7,2019.0,4,26.0,37.0,10,Yes,2023-08-17
EMP0185,Employee_185,HR,HR Manager,42,Female,Chittagong,BSc,22.0,80400,3.4,2022.0,3,26.0,7.0,1,Yes,2022-07-23
EMP0173,Employee_173,HR,HR Director,50,Female,Rajshahi,BSc,27.0,,2.7,2022.0,2,54.0,21.0,7,No,24/01/2022
EMP0013,Employee_013,data science,Senior DS,47,Female,Khulna,BSc,26.0,,3.8,2022.0,1,,34.0,5,No,2015-06-30
